organization,contact,title,email,vertical,notes
ANGELINE ELIZABETH KIRBY MEMORIAL HEALTH CENTER,,,,Healthcare,"assets >$50M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Wilkes Barre, PA; annual revenue $11,770,152; source LMS score 54/100."
DOYLESTOWN HEALTH FOUNDATION,,,,Healthcare,"assets >$50M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Doylestown, PA; annual revenue $11,229,605; source LMS score 54/100."
ACHIEVA,,,,Healthcare,"assets >$50M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Pittsburgh, PA; annual revenue $10,214,380; source LMS score 54/100."
ISAAC NEWTON FOUNDATION INC,,,,Education,"assets >$50M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $9,954,678; source LMS score 54/100."
SHADYSIDE HOSPITAL FOUNDATION,,,,Healthcare,"assets >$50M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Pittsburgh, PA; annual revenue $9,846,704; source LMS score 54/100."
ANNENBERG SCHOOL FOR COMMUNICATION TR AT THE UNIVERSITY OF SOUTHERN C,,,,Healthcare,"assets >$50M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Philadelphia, PA; annual revenue $9,812,292; source LMS score 54/100."
ANNENBERG SCHOOL FOR COMMUNICATION TR AT THE UNIVERSITY OF PA,,,,Education,"assets >$50M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $9,441,212; source LMS score 54/100."
NORTHAMPTON COUNTY AREA COMMUNITY COLLEGE FOUNDATION,,,,Education,"assets >$50M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Bethlehem, PA; annual revenue $9,428,610; source LMS score 54/100."
MAGEE REHABILITATION HOSPITAL FOUNDATION,,,,Healthcare,"assets >$50M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Philadelphia, PA; annual revenue $9,238,136; source LMS score 54/100."
HERITAGE VALLEY HEALTH SYSTEM FOUNDATION,,,,Healthcare,"assets >$50M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Mckees Rocks, PA; annual revenue $9,164,106; source LMS score 54/100."
UNIVERSITY PROPERTIES INC,,,,Education,"assets >$50M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: East Stroudsburg, PA; annual revenue $8,954,583; source LMS score 54/100."
WASHINGTON HOSPITAL FOUNDATION INC,,,,Healthcare,"assets >$50M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Washington, PA; annual revenue $8,902,531; source LMS score 54/100."
JEFFERSON REGIONAL FOUNDATION,,,,Healthcare,"assets >$50M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Pittsburgh, PA; annual revenue $8,394,512; source LMS score 54/100."
GEORGE JUNIOR REPUBLIC,,,,Education,"assets >$50M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Grove City, PA; annual revenue $8,325,622; source LMS score 54/100."
MASTERY CHARTER SCHOOLS FOUNDATION,,,,Education,"assets >$50M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $8,240,277; source LMS score 54/100."
THE ABIM FOUNDATION,,,,Healthcare,"assets >$50M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Philadelphia, PA; annual revenue $8,164,387; source LMS score 54/100."
PASSAVANT HOSPITAL FOUNDATION,,,,Healthcare,"assets >$50M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Pittsburgh, PA; annual revenue $7,939,647; source LMS score 54/100."
DONALD GUTHRIE FOUNDATION,,,,Healthcare,"assets >$50M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Sayre, PA; annual revenue $7,763,432; source LMS score 54/100."
FOUNDATION FOR CALIFORNIA UNIVERSITY OF PENNSYLVANIA,,,,Education,"assets >$50M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: California, PA; annual revenue $7,725,479; source LMS score 54/100."
THE LUZERNE FOUNDATION,,,,Education,"assets >$50M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Wilkes Barre, PA; annual revenue $7,444,003; source LMS score 54/100."
ST BARNABAS LAND TRUST INC,,,,Healthcare,"assets >$50M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Gibsonia, PA; annual revenue $7,420,075; source LMS score 54/100."
SLIPPERY ROCK UNIVERSITY FOUNDATION INC,,,,Education,"assets >$50M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Slippery Rock, PA; annual revenue $6,715,296; source LMS score 54/100."
RESEARCH FOR BETTER SCHOOLS INC,,,,Education,"assets >$50M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $6,470,146; source LMS score 54/100."
EXCELA HEALTH,,,,Healthcare,"assets >$50M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Greensburg, PA; annual revenue $6,260,749; source LMS score 54/100."
RHODE ISLAND ENERGY UNION RETIREE HEALTH AND LIFE VEBA TR,,,,Healthcare,"assets >$50M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Pittsburgh, PA; annual revenue $6,219,344; source LMS score 54/100."
RIDDLE HEALTHCARE FOUNDATION,,,,Healthcare,"assets >$50M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Media, PA; annual revenue $6,026,920; source LMS score 54/100."
PARTNERSHIP FOR BETTER HEALTH,,,,Healthcare,"assets >$50M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Carlisle, PA; annual revenue $5,818,512; source LMS score 54/100."
MASTERY COMMUNITY BUILDERS INC,,,,Education,"assets >$50M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $5,725,639; source LMS score 54/100."
USW CRUCIBLE RETIREES HEALTH AND WELFARE TRUST,,,,Healthcare,"assets >$50M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Pittsburgh, PA; annual revenue $5,499,270; source LMS score 54/100."
MILLERSVILLE UNIVERSITY FOUNDATION,,,,Education,"assets >$50M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Millersville, PA; annual revenue $5,243,897; source LMS score 54/100."
CLARION UNIVERSIY FOUNDATION INC,,,,Education,"assets >$50M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Clarion, PA; annual revenue $5,195,458; source LMS score 54/100."
AMBASSADORS FUND FOR CATHOLIC EDUCATION,,,,Education,"assets >$50M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Wayne, PA; annual revenue $5,128,015; source LMS score 54/100."
JEFFERSON HEALTH-NORTHEAST FOUNDATION,,,,Healthcare,"assets >$50M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Philadelphia, PA; annual revenue $5,100,184; source LMS score 54/100."
BUCKS COUNTY HISTORICAL SOCIETY MERCER MUSEUM,,,,Association / member organization,"assets >$10M; priority segment; keyword: society; keyword: museum. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Doylestown, PA; annual revenue $3,018,935; source LMS score 54/100."
AMERICAN BOARD OF SURGERY,,,,Credentialing / certification,"assets >$10M; revenue >$5M; priority segment. Likely motion: certification/credentialing programs; assessment/reporting. Brightspace angle: Credential prep, continuing education, certification workflows, learner records, and audit-ready reporting. Context: Philadelphia, PA; annual revenue $22,246,980; source LMS score 52/100."
PRINTING UNITED ALLIANCE,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $21,446,191; source LMS score 52/100."
BOARD OF DIRECTORS OF THE ROUSE ESTATE,,,,Credentialing / certification,"assets >$10M; revenue >$5M; priority segment. Likely motion: certification/credentialing programs; assessment/reporting. Brightspace angle: Credential prep, continuing education, certification workflows, learner records, and audit-ready reporting. Context: Youngsville, PA; annual revenue $20,415,090; source LMS score 52/100."
PENNSYLVANIA COLLEGE OF ART AND DESIGN,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Lancaster, PA; annual revenue $17,609,272; source LMS score 52/100."
BETHLEN HOME OF THE HUNGARIAN REFORMED FEDERATION OF AMERICA,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Ligonier, PA; annual revenue $16,805,779; source LMS score 52/100."
THE ALLIANCE HOME OF CARLISLE PA,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Carlisle, PA; annual revenue $16,297,610; source LMS score 52/100."
CARING PEOPLE ALLIANCE,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $15,147,142; source LMS score 52/100."
ALLIANCE FOR BEHAVIORAL & DEVELOPMENTAL DISABILITIES LTD,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Hermitage, PA; annual revenue $15,129,259; source LMS score 52/100."
SOUTHCENTRAL WORKFORCE INVESTMENT BOARD,,,,Workforce / training,"revenue >$5M; priority segment; keyword: workforce. Likely motion: workforce training at scale; grant/outcomes reporting. Brightspace angle: Training cohorts, partner/employer visibility, outcomes tracking, and grant reporting. Context: Harrisburg, PA; annual revenue $14,750,140; source LMS score 52/100."
ADVOCACY ALLIANCE,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Scranton, PA; annual revenue $14,102,171; source LMS score 52/100."
COMMUNITY WELFARE COUNCIL OF NEWTOWN INC,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Newtown, PA; annual revenue $12,972,124; source LMS score 52/100."
AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $12,556,988; source LMS score 52/100."
CHESTER COUNTY ECONOMIC DEVELOPMENT COUNCIL,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Exton, PA; annual revenue $12,542,133; source LMS score 52/100."
PENNSYLVANIA COLLEGE OF TECHNOLOGY FOUNDATION INC,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Williamsport, PA; annual revenue $11,448,243; source LMS score 52/100."
AMERICAN FEDERATION OF TEACHERS,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $11,282,067; source LMS score 52/100."
RURAL REGIONAL COLLEGE OF NORTHERN PENNSYLVANIA,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Warren, PA; annual revenue $10,890,462; source LMS score 52/100."
ALLIANCE FOR DECISION EDUCATION INC,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Bala Cynwyd, PA; annual revenue $10,777,740; source LMS score 52/100."
LUZERNE-SCHUYKILL COUNTY WORKFORCE INVESTMENT BOARD,,,,Workforce / training,"revenue >$5M; priority segment; keyword: workforce. Likely motion: workforce training at scale; grant/outcomes reporting. Brightspace angle: Training cohorts, partner/employer visibility, outcomes tracking, and grant reporting. Context: Wilkes Barre, PA; annual revenue $10,177,402; source LMS score 52/100."
CENTRAL PENNSYLVANIA WORKFORCE DEVELOPMENT CORPORATION,,,,Workforce / training,"revenue >$5M; priority segment; keyword: workforce. Likely motion: workforce training at scale; grant/outcomes reporting. Brightspace angle: Training cohorts, partner/employer visibility, outcomes tracking, and grant reporting. Context: Lewisburg, PA; annual revenue $9,060,258; source LMS score 52/100."
LEHIGH VALLEY WORKFORCE INVESTMENT BOARD,,,,Workforce / training,"revenue >$5M; priority segment; keyword: workforce. Likely motion: workforce training at scale; grant/outcomes reporting. Brightspace angle: Training cohorts, partner/employer visibility, outcomes tracking, and grant reporting. Context: Allentown, PA; annual revenue $8,801,162; source LMS score 52/100."
METROPOLITAN AREA NEIGHBORHOOD NUTRITION ALLIANCE,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $8,433,004; source LMS score 52/100."
PENNSYLVANIA CERTIFIED ORGANIC,,,,Credentialing / certification,"revenue >$5M; priority segment; keyword: certif. Likely motion: certification/credentialing programs; assessment/reporting. Brightspace angle: Credential prep, continuing education, certification workflows, learner records, and audit-ready reporting. Context: Spring Mills, PA; annual revenue $8,232,274; source LMS score 52/100."
AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $7,846,938; source LMS score 52/100."
LOCAL WORKFORCE INVESTMENT FOR THE WESTMORELAND-FAYETTE WORKFORCE,,,,Workforce / training,"revenue >$5M; priority segment; keyword: workforce. Likely motion: workforce training at scale; grant/outcomes reporting. Brightspace angle: Training cohorts, partner/employer visibility, outcomes tracking, and grant reporting. Context: Youngwood, PA; annual revenue $7,262,009; source LMS score 52/100."
WARREN AND FOREST COUNTIES ECONOMIC OPPORTUNITY COUNCIL,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Warren, PA; annual revenue $7,228,408; source LMS score 52/100."
ECONOMIC DEVELOPMENT COUNCIL OF NORTHEASTERN PENNSYLVANIA,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittston, PA; annual revenue $7,057,398; source LMS score 52/100."
MOVEMENT ALLIANCE PROJECT,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $6,634,278; source LMS score 52/100."
LANCASTER COUNTY WORKFORCE INVESTMENT BOARD,,,,Workforce / training,"revenue >$5M; priority segment; keyword: workforce. Likely motion: workforce training at scale; grant/outcomes reporting. Brightspace angle: Training cohorts, partner/employer visibility, outcomes tracking, and grant reporting. Context: Lancaster, PA; annual revenue $6,532,403; source LMS score 52/100."
ECONOMIC PROGRESS ALLIANCE OF CRAWFORD COUNTY,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Meadville, PA; annual revenue $6,518,612; source LMS score 52/100."
AMERICAN BOARD OF OPHTHALMOLOGY,,,,Credentialing / certification,"assets >$10M; revenue >$5M; priority segment. Likely motion: certification/credentialing programs; assessment/reporting. Brightspace angle: Credential prep, continuing education, certification workflows, learner records, and audit-ready reporting. Context: Doylestown, PA; annual revenue $5,754,830; source LMS score 52/100."
COMMUNITY COLLEGE OF ALLEGHENY COUNTY-EDUCATION FOUNDATION,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $5,695,958; source LMS score 52/100."
WORKFORCE SOLUTIONS FOR NORTH CENTRAL PENNSYLVANIA INC,,,,Workforce / training,"revenue >$5M; priority segment; keyword: workforce. Likely motion: workforce training at scale; grant/outcomes reporting. Brightspace angle: Training cohorts, partner/employer visibility, outcomes tracking, and grant reporting. Context: Kersey, PA; annual revenue $5,604,444; source LMS score 52/100."
EASTERN NORTH PHILADELPHIA WORKFORCE DEVELOPMENT CORPORATION,,,,Workforce / training,"revenue >$5M; priority segment; keyword: workforce. Likely motion: workforce training at scale; grant/outcomes reporting. Brightspace angle: Training cohorts, partner/employer visibility, outcomes tracking, and grant reporting. Context: Philadelphia, PA; annual revenue $5,591,727; source LMS score 52/100."
TRI-COUNTY WORKFORCE INVESTMENT BOARD INC,,,,Workforce / training,"revenue >$5M; priority segment; keyword: workforce. Likely motion: workforce training at scale; grant/outcomes reporting. Brightspace angle: Training cohorts, partner/employer visibility, outcomes tracking, and grant reporting. Context: Butler, PA; annual revenue $5,004,752; source LMS score 52/100."
TEC CENTRO WORKFORCE NETWORK,,,,Workforce / training,"assets >$10M; priority segment; keyword: workforce. Likely motion: workforce training at scale; grant/outcomes reporting. Brightspace angle: Training cohorts, partner/employer visibility, outcomes tracking, and grant reporting. Context: Lancaster, PA; annual revenue $4,609,830; source LMS score 52/100."
VALLEY YOUTH HOUSE COMMITTEE,,,,Youth organization,"assets >$10M; revenue >$25M; adjacent education segment. Likely motion: distributed program/staff/volunteer training. Brightspace angle: Program staff, volunteer, chapter/site training, and learner tracking across locations. Context: Bethlehem, PA; annual revenue $51,344,817; source LMS score 50/100."
CHOR YOUTH & FAMILY SERVICES INC,,,,Youth organization,"assets >$10M; revenue >$25M; adjacent education segment. Likely motion: distributed program/staff/volunteer training. Brightspace angle: Program staff, volunteer, chapter/site training, and learner tracking across locations. Context: Reading, PA; annual revenue $38,700,530; source LMS score 50/100."
PRIVATE INDUSTRY COUNCIL OF WESTMORELAND FAYETTE INC,,,,Association / member organization,"revenue >$25M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Greensburg, PA; annual revenue $27,608,833; source LMS score 50/100."
LAKESIDE YOUTH SERVICE,,,,Youth organization,"assets >$10M; revenue >$25M; adjacent education segment. Likely motion: distributed program/staff/volunteer training. Brightspace angle: Program staff, volunteer, chapter/site training, and learner tracking across locations. Context: North Wales, PA; annual revenue $27,229,522; source LMS score 50/100."
CONCERN-PROFESSIONAL SERVICES FOR CHILDREN YOUTH AND FAMILIES,,,,Youth organization,"assets >$10M; revenue >$25M; adjacent education segment. Likely motion: distributed program/staff/volunteer training. Brightspace angle: Program staff, volunteer, chapter/site training, and learner tracking across locations. Context: Fleetwood, PA; annual revenue $26,477,235; source LMS score 50/100."
TRAINING TOWARD SELF RELIANCE INC,,,,Workforce / training,"revenue >$5M; priority segment; keyword: training. Likely motion: workforce training at scale; grant/outcomes reporting. Brightspace angle: Training cohorts, partner/employer visibility, outcomes tracking, and grant reporting. Context: Parker, PA; annual revenue $16,324,288; source LMS score 50/100."
ED SNIDER YOUTH HOCKEY SUPPORTING ORGANIZATION INC,,,,Youth organization,"assets >$50M; revenue >$5M; adjacent education segment. Likely motion: distributed program/staff/volunteer training. Brightspace angle: Program staff, volunteer, chapter/site training, and learner tracking across locations. Context: Philadelphia, PA; annual revenue $8,831,841; source LMS score 50/100."
WASHINGTON GREENE COUNTY JOB TRAINING AGENCY INC,,,,Workforce / training,"revenue >$5M; priority segment; keyword: training. Likely motion: workforce training at scale; grant/outcomes reporting. Brightspace angle: Training cohorts, partner/employer visibility, outcomes tracking, and grant reporting. Context: Washington, PA; annual revenue $8,331,535; source LMS score 50/100."
BIDWELL TRAINING CENTER INC,,,,Workforce / training,"revenue >$5M; priority segment; keyword: training. Likely motion: workforce training at scale; grant/outcomes reporting. Brightspace angle: Training cohorts, partner/employer visibility, outcomes tracking, and grant reporting. Context: Pittsburgh, PA; annual revenue $6,643,327; source LMS score 50/100."
WESTERN PENNSYLVANIA LABORERS EDUC AND TRAINING TRUST FUND,,,,Workforce / training,"assets >$10M; priority segment; keyword: training. Likely motion: workforce training at scale; grant/outcomes reporting. Brightspace angle: Training cohorts, partner/employer visibility, outcomes tracking, and grant reporting. Context: Saxonburg, PA; annual revenue $3,748,528; source LMS score 50/100."
WESTERN CENTRAL PENNSYLVANIA ELECTRICIANS JOINT APPRENTICESHIP,,,,Workforce / training,"assets >$10M; priority segment; keyword: apprentice. Likely motion: workforce training at scale; grant/outcomes reporting. Brightspace angle: Training cohorts, partner/employer visibility, outcomes tracking, and grant reporting. Context: New Castle, PA; annual revenue $1,664,040; source LMS score 50/100."
PENNSYLVANIA ASSOCIATION FOR SUSTAINABLE AGRICULTURE,,,,Association / member organization,"revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Harrisburg, PA; annual revenue $23,620,637; source LMS score 48/100."
PENNSYLVANIA ASSOCIATION OF REGIONAL FOOD BANKS,,,,Association / member organization,"revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $20,287,538; source LMS score 48/100."
HARRISBURG AREA YMCA,,,,Youth organization,"assets >$10M; revenue >$5M; adjacent education segment; keyword: ymca. Likely motion: distributed program/staff/volunteer training. Brightspace angle: Program staff, volunteer, chapter/site training, and learner tracking across locations. Context: Harrisburg, PA; annual revenue $17,492,698; source LMS score 48/100."
ASSOCIATION OF FOOD AND DRUG OFFICIALS,,,,Association / member organization,"revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: York, PA; annual revenue $16,173,372; source LMS score 48/100."
KEYSTONE BLIND ASSOCIATION,,,,Association / member organization,"revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Hermitage, PA; annual revenue $15,614,049; source LMS score 48/100."
INTERNATIONAL ASSOCIATION OF SHEET METAL AIR RAIL & TRANSPORTATION,,,,Association / member organization,"revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $12,642,783; source LMS score 48/100."
GREATER WYOMING VALLEY AREA YMCA,,,,Youth organization,"assets >$10M; revenue >$5M; adjacent education segment; keyword: ymca. Likely motion: distributed program/staff/volunteer training. Brightspace angle: Program staff, volunteer, chapter/site training, and learner tracking across locations. Context: Wilkes Barre, PA; annual revenue $12,642,568; source LMS score 48/100."
BOYS & GIRLS CLUBS OF PHILADELPHIA INC,,,,Youth organization,"assets >$10M; revenue >$5M; adjacent education segment; keyword: boys & girls. Likely motion: distributed program/staff/volunteer training. Brightspace angle: Program staff, volunteer, chapter/site training, and learner tracking across locations. Context: Philadelphia, PA; annual revenue $11,880,741; source LMS score 48/100."
BROAD ACRES NURSING HOME ASSOCIATION,,,,Association / member organization,"revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Wellsboro, PA; annual revenue $11,706,045; source LMS score 48/100."
MEADOWS STANDARDBRED OWNERS ASSOCIATION,,,,Association / member organization,"revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Meadow Lands, PA; annual revenue $10,721,463; source LMS score 48/100."
